SongID,emotions
69908,"슬픔, 공포"
73294,"슬픔, 행복"
188668,"놀람, 행복"
517091,"놀람, 슬픔"
742574,"행복, 중립"
1356122,"슬픔, 행복"
2202565,"슬픔, 행복"
2710613,"슬픔, 공포"
3843570,"놀람, 슬픔"
3866221,"놀람, 행복"
3940613,"분노, 슬픔"
4182990,"중립, 슬픔"
4446485,"슬픔, 중립"
4476043,"중립, 놀람"
4711065,"놀람, 슬픔"
4832347,"슬픔, 놀람"
5372667,"슬픔, 행복"
5458267,"슬픔, 분노"
5465067,"놀람, 슬픔"
5832395,"놀람, 슬픔"
8121604,"행복, 슬픔"
8124417,"분노, 혐오"
8271355,"놀람, 슬픔"
30038185,"슬픔, 중립"
30092083,"슬픔, 분노"
30688502,"슬픔, 놀람"
30705599,"놀람, 분노"
30707718,"놀람, 슬픔"
30732377,"놀람, 공포"
30798989,"슬픔, 중립"
30909912,"행복, 공포"
30997607,"분노, 중립"
31098679,"놀람, 슬픔"
31184764,"놀람, 슬픔"
31297008,놀람
31331756,"놀람, 행복"
31340985,"놀람, 행복"
31376041,"놀람, 분노"
31391180,"슬픔, 놀람"
31470006,"슬픔, 분노"
31562554,"슬픔, 중립"
31571110,"슬픔, 놀람"
31636899,"슬픔, 분노"
31700625,"놀람, 분노"
31703498,"슬픔, 분노"
31782025,"슬픔, 분노"
31877876,"슬픔, 분노"
31901475,"슬픔, 분노"
32046028,"행복, 중립"
32061975,"슬픔, 분노"
32073454,"슬픔, 중립"
32156286,"슬픔, 분노"
32183386,"놀람, 행복"
32184905,"슬픔, 공포"
32243272,"놀람, 행복"
32341095,"슬픔, 행복"
32376333,"슬픔, 행복"
32390567,"슬픔, 행복"
32443693,"놀람, 슬픔"
32450201,"놀람, 슬픔"
32457751,"행복, 중립"
32502821,"놀람, 분노"
32508053,"슬픔, 행복"
32567536,"슬픔, 공포"
32596005,"슬픔, 중립"
32620041,"슬픔, 행복"
32620042,"슬픔, 행복"
32643920,"놀람, 분노"
32651484,"슬픔, 중립"
32794652,"슬픔, 분노"
32812198,놀람
32866582,"놀람, 중립"
32874182,"놀람, 행복"
32885942,"슬픔, 중립"
32922146,"놀람, 슬픔"
33030421,"슬픔, 놀람"
33061995,"슬픔, 분노"
33082482,"놀람, 행복"
33115807,"놀람, 슬픔"
33115809,"놀람, 슬픔"
33160206,"슬픔, 중립"
33186638,"슬픔, 공포"
33190496,"놀람, 슬픔"
33195218,"놀람, 중립"
33214673,"슬픔, 공포"
33219445,"슬픔, 놀람"
33229299,"슬픔, 행복"
33232274,"슬픔, 분노"
33238609,"공포, 중립"
33264943,"슬픔, 행복"
33301174,"슬픔, 중립"
33334136,"슬픔, 중립"
33340515,"슬픔, 행복"
33388143,"슬픔, 공포"
33412196,"슬픔, 중립"
33413898,"슬픔, 놀람"
33480898,"슬픔, 공포"
33483664,"놀람, 슬픔"
33542963,"놀람, 슬픔"
33552335,"슬픔, 놀람"
33589488,"슬픔, 공포"
33725775,"놀람, 행복"
33742930,"슬픔, 중립"
33805501,"놀람, 행복"
33859545,놀람
33898950,"놀람, 행복"
34061322,"슬픔, 분노"
34101563,"놀람, 행복"
34270805,"놀람, 행복"
34297402,"슬픔, 놀람"
34360855,"슬픔, 중립"
34415838,"슬픔, 놀람"
34481680,"놀람, 행복"
34520489,"슬픔, 중립"
34599917,"슬픔, 행복"
34631174,"놀람, 슬픔"
34701954,"슬픔, 놀람"
34787226,"행복, 슬픔"
34819473,"슬픔, 놀람"
35003354,"슬픔, 행복"
35018128,"놀람, 슬픔"
35107561,"놀람, 분노"
35177030,"슬픔, 행복"
35327974,"슬픔, 분노"
35353440,"슬픔, 분노"
35391594,"행복, 중립"
35407704,"놀람, 중립"
35411219,"슬픔, 행복"
35454426,"놀람, 슬픔"
35493135,"놀람, 슬픔"
35505810,"슬픔, 공포"
35536571,"놀람, 슬픔"
35546497,"놀람, 슬픔"
35642015,"공포, 슬픔"
35685438,"놀람, 혐오"
35890454,"슬픔, 행복"
35945927,"놀람, 행복"
35950074,"중립, 슬픔"
36013512,"행복, 슬픔"
36040047,"놀람, 슬픔"
36105548,"놀람, 분노"
36180700,"슬픔, 행복"
36182847,"놀람, 분노"
36206259,"놀람, 슬픔"
36290210,"놀람, 분노"
36290218,"놀람, 슬픔"
36315109,"놀람, 분노"
36356993,"놀람, 행복"
36357001,"슬픔, 놀람"
36365073,"행복, 공포"
36381765,"슬픔, 분노"
36382580,"슬픔, 행복"
36411342,"놀람, 행복"
36411344,"놀람, 분노"
36423636,"놀람, 중립"
36428682,"슬픔, 공포"
36430773,"행복, 놀람"
36430774,"놀람, 슬픔"
36480197,"슬픔, 행복"
36490426,놀람
36546922,"분노, 행복"
36546923,"슬픔, 분노"
36549241,"놀람, 분노"
36564724,"놀람, 공포"
36599949,"놀람, 슬픔"
36602894,"놀람, 중립"
36613696,"행복, 놀람"
36616378,"행복, 놀람"
36632907,"놀람, 분노"
36661231,"중립, 혐오"
36676297,"놀람, 분노"
36681074,"놀람, 슬픔"
36686163,"놀람, 공포"
36699655,"놀람, 분노"
36699656,"놀람, 분노"
36713849,"놀람, 중립"
36713941,"슬픔, 행복"
36764312,"놀람, 행복"
36777679,"놀람, 슬픔"
36779485,놀람
36799774,"슬픔, 놀람"
36799775,"놀람, 슬픔"
36801619,놀람
36805679,"놀람, 슬픔"
36821415,"놀람, 행복"
36824901,"놀람, 슬픔"
